Fid,Line,E_Nad83,N_Nad83,Lon,Lat,Alt,Height,DEM,Date,Time,Base_Mag,Diurnal,Mag_Filt,Mag_Raw,TMI,RMF,igrf,inc,dec
234882.1,100101,724307.206057495,491569.631349525,-87.4136974406545,44.8682556168485,276.321809165336,99.5018474347663,176.81996173057,2021/01/20,17:14:42,-9999.99,-10.1780622446223,54810.7408217841,54810.7992063205,54820.9188840287,210.596578456913,54610.3223055718,71.1261730743095,-4.79558024615551
234902.1,100101,723880.912704627,491709.204546989,-87.4190322324467,44.8696328351101,270.076478781308,52.7712561728839,217.305222608424,2021/01/20,17:15:02,-9999.99,-10.2242979724779,54811.7314644002,54811.6827457077,54821.9557623727,210.642432602413,54611.3133297703,71.1274495562784,-4.79154367159045
234922.1,100101,723449.813780673,491852.565710005,-87.4244265430569,44.8710452462146,274.220847664595,42.6686363463308,231.552211318264,2021/01/20,17:15:22,-9999.99,-10.2232289148489,54799.1259573339,54799.1318,54809.3491862488,197.319526937725,54612.0296593111,71.1287453955984,-4.78745495744712
234942.1,100101,722989.042870295,492005.356898836,-87.4301926153026,44.8725506630532,276.161661246875,42.1372301379802,234.024431108895,2021/01/20,17:15:42,-9999.99,-10.2158247257841,54787.8088319887,54787.8135017103,54798.0246567145,185.161530251658,54612.8631264628,71.1301290698486,-4.78308567924498
234962.1,100101,722533.5391119,492191.939884326,-87.4358788798697,44.8743581912565,241.654761284786,52.9817106104661,188.67305067432,2021/01/20,17:16:02,-9999.99,-10.2232050087836,54769.8255428867,54769.6465626996,54780.0487478955,165.209511695037,54614.8392362004,71.131758100183,-4.7788697503707
234982.1,100101,722127.132329853,492361.984625243,-87.4409511285015,44.8760027909173,225.146907762662,38.3864508648762,186.760456897785,2021/01/20,17:16:22,-9999.99,-10.1725578569473,54763.8949507621,54763.7949482386,54774.067508619,157.85325195855,54616.2142566605,71.1332221272656,-4.77510044022411
235002.1,100101,721698.469778228,492489.327287361,-87.4463221707329,44.877269443283,236.255375678639,48.6918500377828,187.563525640856,2021/01/20,17:16:42,-9999.99,-10.1426493002326,54786.9268479568,54787.0,54797.0694972571,180.396333946337,54616.6731633107,71.134403620759,-4.77099588586518
235022.1,100101,721293.414041833,492697.251852836,-87.4513628526574,44.8792538695726,234.557165528721,47.658142252337,186.899023276384,2021/01/20,17:17:02,-9999.99,-10.157989085567,54822.5134750853,54822.6743157224,54832.6714641709,214.901994561529,54617.7694696094,71.1360990528205,-4.76729749422385
235082.7,100201,721343.573244561,491892.901011943,-87.4510479666375,44.8720060111476,232.567214308839,54.2733121192445,178.293902189595,2021/01/20,17:18:03,-9999.99,-10.0869043896384,54773.8783494124,54773.8691,54783.965253802,169.120714761855,54614.8445390402,71.1308315316942,-4.76625738488475
235102.7,100201,721809.779693225,491748.615655198,-87.4452092283727,44.8705765927502,227.54403842694,45.2705064363417,182.273531990598,2021/01/20,17:18:23,-9999.99,-10.0713521089353,54769.1152570244,54768.4766655728,54779.1866091333,165.060317348783,54614.1262917845,71.1295034098653,-4.770703097931
